
(Quick-Find)

[0,1,2,3,4,5,6,7,8,9]   9-0
[0,1,2,3,4,5,6,7,8,0] 1 3-4
[0,1,2,4,4,5,6,7,8,0] 1 5-8
[0,1,2,4,4,8,6,7,8,0] 1 7-2
[0,1,2,4,4,8,6,2,8,0] 1 2-1
[0,1,1,4,4,8,6,1,8,0] 2 5-7
[0,1,1,4,4,1,6,1,1,0] 4 0-3
[4,1,1,4,4,1,6,1,1,4] 3 4-2
[1,1,1,1,1,1,6,1,1,1] 8


(Quick-Union)

[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]   9-0
[0, 1, 2, 3, 4, 5, 6, 7, 8, 0] 1 3-4
[0, 1, 2, 4, 4, 5, 6, 7, 8, 0] 1 5-8
[0, 1, 2, 4, 4, 8, 6, 7, 8, 0] 1 7-2
[0, 1, 2, 4, 4, 8, 6, 2, 8, 0] 1 2-1
[0, 1, 1, 4, 4, 8, 6, 2, 8, 0] 1 5-7
[0, 1, 1, 4, 4, 8, 6, 2, 1, 0] 1 0-3
[4, 1, 1, 4, 4, 8, 6, 2, 1, 0] 1 4-2
[4, 1, 1, 4, 1, 8, 6, 2, 1, 0] 1


(Weighted Quick-Union)

[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 1 9-0
[9, 1, 2, 3, 4, 5, 6, 7, 8, 9] 1 3-4
[9, 1, 2, 3, 3, 5, 6, 7, 8, 9] 1 5-8
[9, 1, 2, 3, 3, 5, 6, 7, 5, 9] 1 7-2
[9, 1, 7, 3, 3, 5, 6, 7, 5, 9] 1 2-1
[9, 7, 7, 3, 3, 5, 6, 7, 5, 9] 1 5-7
[9, 7, 7, 3, 3, 7, 6, 7, 5, 9] 1 0-3
[9, 7, 7, 9, 3, 7, 6, 7, 5, 9] 1 4-2
[9, 7, 7, 9, 3, 7, 6, 7, 5, 7] 1

(Weighted Quick-Union Path Compression)

[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 9-0
[9, 1, 2, 3, 4, 5, 6, 7, 8, 9] 3-4
[9, 1, 2, 3, 3, 5, 6, 7, 8, 9] 5-8
[9, 1, 2, 3, 3, 5, 6, 7, 5, 9] 7-2
[9, 1, 7, 3, 3, 5, 6, 7, 5, 9] 2-1
[9, 7, 7, 3, 3, 5, 6, 7, 5, 9] 5-7
[9, 7, 7, 3, 3, 7, 6, 7, 5, 9] 0-3
[9, 7, 7, 9, 3, 7, 6, 7, 5, 9] 4-2
[9, 7, 7, 9, 9, 7, 6, 7, 5, 7]
